一级分类,分类描述,分类颜色,标签组,标签组描述,Tag,操作说明
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,细胞 / 样本类型,建议选择细胞类型；如不限定，请选择通用标签。,通用 / 不限定细胞类型,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,细胞 / 样本类型,建议选择细胞类型；如不限定，请选择通用标签。,293T,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,细胞 / 样本类型,建议选择细胞类型；如不限定，请选择通用标签。,HeLa,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,细胞 / 样本类型,建议选择细胞类型；如不限定，请选择通用标签。,A549,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,细胞 / 样本类型,建议选择细胞类型；如不限定，请选择通用标签。,HepG2,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,细胞 / 样本类型,建议选择细胞类型；如不限定，请选择通用标签。,RAW264.7,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,细胞 / 样本类型,建议选择细胞类型；如不限定，请选择通用标签。,THP-1,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,细胞 / 样本类型,建议选择细胞类型；如不限定，请选择通用标签。,HUVEC,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,细胞 / 样本类型,建议选择细胞类型；如不限定，请选择通用标签。,原代细胞,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,细胞 / 样本类型,建议选择细胞类型；如不限定，请选择通用标签。,干细胞,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,细胞 / 样本类型,建议选择细胞类型；如不限定，请选择通用标签。,免疫细胞,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,细胞 / 样本类型,建议选择细胞类型；如不限定，请选择通用标签。,肿瘤细胞,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,细胞 / 样本类型,建议选择细胞类型；如不限定，请选择通用标签。,神经元,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,细胞 / 样本类型,建议选择细胞类型；如不限定，请选择通用标签。,上皮细胞,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,细胞 / 样本类型,建议选择细胞类型；如不限定，请选择通用标签。,成纤维细胞,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,实验方法,细胞和组织相关实验方法,细胞培养,可修改/新增/删除整行
